Sno,Bank Name,Branch Name,IFSC Code
490,State Bank of India, CHAPRA,SBIN0001220
491,State Bank of India,SAHABGANJ,SBIN0014613
492,CENTRAL BANK OF INDIA,KAITHAULI,CBIN0283132
493,UNION BANK OF INDIA,LUCKNOW ,UBIN0551406
494,INDIAN BANK,SANGRAMGANJ,IDIB000S567
495,INDIAN BANK,SRAVASTI,IDIB000K634
496,UNION BANK OF INDIA,BALRAMPUR,UBIN0557226
497,Uttar Pradesh Gramin Bank,UTTAR PRADESH ,BARB0BUPGBX
498,HDFC Bank,CHAJJAPUR,HDFC0002663
499,State Bank of India,CHITRAKOOT,SBIN0003869
500,Uttar Pradesh Gramin Bank,Uttar Pradesh,BARB0BUPGBX
501,Axis Bank, NOIDA,UTIB0001788
502,ICICI BANK LIMITED, MADHYA PRADESH,ICIC0001716
503,INDIAN BANK,BALRAMPUR,IDIB000B098
504,INDIAN BANK,UTRAULA,IDIB000U538
505,State Bank of India,BALRAMPUR,SBIN0000019
506,PUNJAB NATIONAL BANK, RAEBARELI,PUNB0684300
507,Bank of Baroda,GYANPUR,BARB0GYANBS
508,State Bank of India, CHHATARPUR,SBIN0001628
509,Bank of Baroda,GORKHAPUR,BARB0GORKHA
510,INDIAN BANK,ITIYATHOKE,IDIB000I546
511,HDFC Bank, LUCKNOW,HDFC0001136
512,UNION BANK OF INDIA,BHINGA,UBIN0557218
513,Bank of Baroda,SHRAVASTI,BARB0BHINGA
514,Uttar Pradesh Gramin Bank,UTTAR PRADESH ,BARB0BUPGBX
515,State Bank of India,SARAI KHAS,SBIN0009287
516,UNION BANK OF INDIA,SIDHAULI,UBIN0559393
517,Uttar Pradesh Gramin Bank,UTTAR PRADESH ,BARB0BUPGBX
518,INDIAN BANK, BALRAMPUR,IDIB000V531
519,Canara Bank,NIWARI,CNRB0005921
520,ICICI BANK LIMITED,LUCKNOW┬á,ICIC0006281
521,UNION BANK OF INDIA,KICHACHHA,UBIN0573710
522,Canara Bank,TELENDA,CNRB0019384
523,Bank of Baroda,GONDA,BARB0GONDAX
524,INDIAN BANK,IMILIA,IDIB000I517
525,Bank of Baroda,SHAHJAHANPUR,BARB0DIGURA
526,State Bank of India,LUCKNOW,SBIN0008066
527,INDIAN BANK,KUTUBGANJ,IDIB000K853
528,State Bank of India,JAIL ROAD,SBIN0009019
529,State Bank of India, AGRA,SBIN0011637
530,Bank of Baroda,CHILLA ROAD,BARB0CHILRD
531,State Bank of India,ATTARA,SBIN0005395
532,State Bank of India,BANDA,SBIN0000021
533,State Bank of India,CHITRAKOOT,SBIN0003869
534,UNION BANK OF INDIA,BANDA,UBIN0538043
535,Bank of Baroda,BANDA ,BARB0BANDXX
536,Bank of Baroda,TINDWARI,BARB0TINDWA
537,INDIAN BANK,BADAUSA,IDIB000B518
538,Bank Of India,CHITRAKOOT DHAM,BKID0006981
539,INDIAN BANK,CHAUSARH,IDIB000C561
540,PUNJAB NATIONAL BANK,MAWAI BUZURG,PUNB0743900
541,Bank of Baroda,BANDA,BARB0BANDXX
542,State Bank of India,SATNA,SBIN0016748
543,UCO BANK,JABALPUR,UCBA0002003
544,State Bank of India,KARWI,SBIN0000110
545,Axis Bank,MAHOBA,UTIB0001913
546,Axis Bank,VIBHUTI KHAND,UTIB0002800
547,Bank of Baroda,TINDWARI,BARB0TINDWA
548,State Bank of India,T.D COLLEGE,SBIN0010176
549,ICICI bank,ICICI BANK,ICIC0002413
550,Uttar Pradesh Gramin Bank,Uttar Pradesh,BARB0BUPGBX
551,Bank of Baroda,KATNI BRANCH,BARB0KATNIX
552,Bank of Baroda,BANDA,BARB0BANDXX
553,Bank Of India,BANDA,BKID0006979
554,Punjab National Bank,ATTARRA,PUNB0684600
555,INDIAN BANK,KHURHAND,IDIB000K712
556,Indian Overseas Bank ,CHITRAKOOT DHAM KARWI,IOBA0002472
557,Indian Bak,JABALPUR ,IDIB000J502
558,Bank of Baroda,ATARRA,BARB0ATARRA
559,Bank of Baroda,BANDA ,BARB0BANDXX
560,State Bank of India,ATTARA,SBIN0002509
561,Axis Bank,VIBHUTI KHAND,UTIB0002800
562,IDBI BANK,BANDA,IBKL0001580
563,State Bank of India,ORCHHA ,SBIN0001942
564,State Bank of India,ATTARA,SBIN0002509
565,PUNJAB NATIONAL BANK,ATTARRA,PUNB0684600
566,State Bank of India,BABERU,SBIN0011206
567,PUNJAB NATIONAL BANK,BANDA,PUNB0054000
568,UNION BANK,JANKIKUND,UBIN0542148
569,State Bank of India,CHITRAKOOT,SBIN0003869
570,ICICI,ICICI BANK,ICIC0002413
571,INDIAN BANK,BANDA,IDIB000B597
572,State Bank of India,BABERU,SBIN0011206
573,State Bank of India,ATTARA,SBIN0002509
574,PUNJAB NATIONAL BANK,SATNA,PUNB0029110
575,State Bank of India,RATH,SBIN0000206
576,PUNJAB NATIONAL BANK,CHHATARPUR,PUNB0142400
577,Bank of Baroda,CHILLA ROAD,BARB0CHILRD
578,UNION BANK OF INDIA,KARVI,UBIN0559296
579,State Bank of India,BANDA,SBIN0000021
580,PUNJAB NATIONAL BANK,ATTARRA,PUNB0684600
581,State Bank of India, JHANSI,SBIN0061752
582,Axis Bank,VIBHUTI KHAND,UTIB0002800
583,Bank of Baroda, LUCKNOW,BARB0DALIGA
584,State Bank of India,TIKAIT NAGAR,SBIN0017286
585,State Bank of India,JANKIPURAM ,SBIN0012981
586,Bank of Baroda,JHUNSI,BARB0JHUNSI
587,PUNJAB NATIONAL BANK, BARABANKI,PUNB0185900
588,State Bank of India, RAEBARELI,SBIN0011218
589,UCO BANK,BANNAUR,UCBA0001203
590,Bank of Baroda,CHARBAUG ,BARB0CHARBA
591,State Bank of India, LUCKNOW,SBIN0014626
592,Bank of Baroda,LUCKNOW,BARB0AVALUC
593,CENTRAL BANK OF INDIA,RASOOLPUR ,CBIN0282674
594,PUNJAB NATIONAL BANK,LUCKNOW,PUNB0414000
595,ICICI BANK LIMITED,LUCKNOW,ICIC0003532
596,UNION BANK OF INDIA,FATEHPUR,UBIN0558079
597,Bank Of India,MAKANPUR,BKID0007516
598,State Bank of India,KANPUR,SBIN0003809
599,Bank Of India,DHARAULI,BKID0007513
600,State Bank of India,BARABANKI,SBIN0000023
601,CENTRAL BANK OF INDIA,KESHAVNAGAR,CBIN0283655
602,State Bank of India,JIYANPUR,SBIN0012995
603,UNION BANK OF INDIA,GODRIPATTI,UBIN0549185
604,FEDERAL BANK,BARABANKI,FDRL0001977
605,PUNJAB NATIONAL BANK,BARABANKI,PUNB0185900
606,Canara Bank,ZAIDPUR,CNRB0004423
607,State Bank of India,MAHOBA,SBIN0000128
608,State Bank of India,M.G.MARG,SBIN0006496
609,CENTRAL BANK OF INDIA,RUDAULI,CBIN0283700
610,State Bank of India,FATEHPUR,SBIN0000215
611,Bank of Baroda, SITAPUR,BARB0BISWAN
612,State Bank of India,BARABANKI,SBIN0000023
613,PUNJAB NATIONAL BANK,LUCKNOW,PUNB0241100
614,Bank of Baroda,BARABANKI,BARB0VJBBNK
615,State Bank of India,BARABANKI,SBIN0000023
616,PUNJAB AND SIND BANK,BARABANKI,PSIB0021115
617,ICICI BANK LIMITED,BARABANKI,ICIC0000515
618,UNION BANK OF INDIA,BARABANKI,UBIN0537152
619,State Bank of India,LUCKNOW,SBIN0007789
620,State Bank of India,PHAPHAMAU,SBIN0003487
621,PUNJAB NATIONAL BANK,KSHETRIYA SHRI ,PUNB0602600
622,UNION BANK OF INDIA,LUCKNOW ,UBIN0553140
623,State Bank of India,GANESHGANJ,SBIN0001898
624,State Bank of India,RAMSANEHI GHAT,SBIN0000239
625,Indian Bank,Barabanki,IDIB000B636
626,Bank of Baroda,RAE BARELI,BARB0KHATOU
627,UNION BANK OF INDIA,MUNSHIPULIA ,UBIN0553361
628,State Bank of India,JANKIPURAM,SBIN0015116
629,Bank of Baroda,TIKAIT NAGAR,BARB0TIKAIT
630,Axis Bank,LUCKNOW,UTIB0000053
631,UCO BANK,SIDDHAUR,UCBA0003163
632,UCO BANK,MAHMUDABAD,UCBA0000385
633,Bank of Baroda,BULANDSHAHR,BARB0AKBABU
634,State Bank of India,HAIDARGARH,SBIN0004479
635,UNION BANK OF INDIA,HARDOEYA,UBIN0565946
636,UNION BANK OF INDIA,LUCKNOW ,UBIN0931781
637,State Bank of India,BARAIL,SBIN0015680
638,State Bank of India,JANKIPURAM ,SBIN0012981
639,State Bank of India, BARABANKI,SBIN0017284
640,PUNJAB NATIONAL BANK, FAIZABAD,PUNB0418100
641,State Bank of India,BADO SARAI,SBIN0018777
642,BANDHAN BANK LIMITED,Barabanki,BDBL0001907
643,INDIAN BANK,DEOKHALI ,IDIB000D571
644,PUNJAB AND SIND BANK,BADOSARAI,PSIB0021321
645,State Bank of India,DHAMMAUR,SBIN0016459
646,Bank Of India,SIDDHAUR,BKID0007526
647,State Bank of India,NEORIA  ,SBIN0004553
648,Bank of Baroda,KUDESIA PHATAK,BARB0KUDESI
649,Canara Bank,AGRA BODLA,CNRB0001441
650,State Bank of India,BAREILLY COLLEGE,SBIN0001960
651,State Bank of India,EKTA NAGAR,SBIN0005362
652,State Bank of India,RAMPUR GARDEN,SBIN0013226
653,PUNJAB NATIONAL BANK,ALIGARH,PUNB0656200
654,State Bank of India,POLICE LINES ,SBIN0061637
655,INDIAN BANK,KATRA BAZAR,IDIB000K634
656,Uttar Pradesh Gramin Bank,Uttar Pradesh,BARB0BUPGBX
657,SYNDICATE BANK,PILIBHIT,CNRB0002198
658,State Bank of India,BAREILLY ,SBIN0001960
659,UNION BANK OF INDIA, BAREILY,UBIN0829897
660,PUNJAB NATIONAL BANK,BAREILLY ,PUNB0613400
661,THE NAINITAL BANK LIMITED,FARIDPUR,NTBL0FAR106
662,State Bank of India,NAWABGANJ,SBIN0004716
663,PUNJAB NATIONAL BANK,GAINI,PUNB0211100
664,Bank of Baroda,NAVIN MANDI ,BARB0HALNAV
665,HDFC Bank,TRANS YAMUNA,HDFC0004134
666,UNION BANK OF INDIA, BARELI,UBIN0539694
667,CENTRAL BANK OF INDIA,GHAZIABAD,CBIN0280257
668,State Bank of India,DEVCHARA,SBIN0011170
669,State Bank of India,BAREILLY ,SBIN0001960
670,State Bank of India,BAREILLY,SBIN0016725
671,State Bank of India,ADB PILBHIT,SBIN0001667
672,Bank of Baroda, BAREILLY,BARB0RICHHA
673,Bank of Baroda, SONBHADRA,BARB0ROBERT
674,State Bank of India,MAHANAGAR,SBIN0016725
675,Bank Of India,BADAUN,BKID0007842
676,PUNJAB NATIONAL BANK,SAMBHAL,PUNB0089300
677,Bank of Baroda, BAREILLY,BARB0PARSKH
678,PUNJAB NATIONAL BANK,BUDAUN ,PUNB0124300
679,Bank Of India,JHANSI,BKID0006930
680,State Bank of India, HATHRAS,SBIN0017573
681,Bank of Baroda, BAREILY,BARB0FARIDP
682,State Bank of India,BAZPUR,SBIN0000617
683,INDIAN BANK,DEOLAND,IDIB000D572
684,Bank Of India,BADAUN,BKID0007842
685,State Bank of India,SHIAMGANJ,SBIN0001819
686,UNION BANK OF INDIA,MAHOLI,UBIN0568961
687,Bank of Baroda,KEMRI,BARB0KEMRIX
688,Baroda Uttar Pradesh Gramin Bank, UTTAR PRADESH ,BARB0BUPGBX
689,HDFC Bank,KALKAJI,HDFC0001559
690,State Bank of India,ADB KASGANJ,SBIN0004504
691,State Bank of India,DEORANIAN,SBIN0015530
692,Axis Bank,LUCKNOW,UTIB0000407
693,State Bank of India,RAJENDRA NAGAR,SBIN0018455
694,Bank Of India,BASTI,BKID0007170
695,Bank Of India,BASTI,BKID0007170
696,UNION BANK OF INDIA,SARAIYAN NANHU,UBIN0572624
697,State Bank of India,LUCKNOW ,SBIN0014906
698,PUNJAB NATIONAL BANK,GARWHA,PUNB0405100
699,State Bank of India,MUNDERWA,SBIN0002583
700,State Bank of India, DHAMDAHA,SBIN0001849
701,State Bank of India,SAADATGANJ,SBIN0011642
702,IDBI BANK,HARDOI,IBKL0000342
703,Axis Bank, LUCKNOW,UTIB0003400
704,Bank of Baroda,AMBEDKAR NAGAR,BARB0ARIYAX
705,UNION BANK OF INDIA,CHOWRINGHEE ROAD,UBIN0540161
706,PUNJAB NATIONAL BANK,BASTI ,PUNB0058700
707,HDFC Bank,BASTI,HDFC0001888
708,Axis Bank,VIBHUTI KHAND,UTIB0002800
709,State Bank of India,ITWA,SBIN0002553
710,Canara Bank,BASTI,CNRB0019246
711,State Bank of India,BASTI,SBIN0016950
712,Bank of Baroda, FAIZABAD,BARB0DEOKAL
713,Axis Bank,NOIDA,UTIB0001788
714,HDFC Bank,LUCKNOW ,HDFC0000078
715,Bank of Baroda,BASTI,BARB0CIVBAS
716,State Bank of India,COURT AREA,SBIN0006211
717,State Bank of India,GOPALPUR,SBIN0010884
718,PUNJAB NATIONAL BANK,AKBARPUR,PUNB0625700
719,State Bank of India, DOMARIAGANJ,SBIN0005956
720,State Bank of India,JAIL ROAD,SBIN0009019
721,HDFC Bank, KANPUR,HDFC0002080
722,Canara Bank,BASTI,CNRB0002787
723,Bank of Baroda,RAJESULTANPUR,BARB0RAJESU
724,Bank of Baroda,SULTANPUR,BARB0MUNSHI
725,State Bank of India,RUDHAULI,SBIN0002604
726,State Bank of India,BASTI,SBIN0000031
727,State Bank of India,BHADAWAL,SBIN0009571
728,State Bank of India,COURT AREA,SBIN0006211
729,INDIAN BANK,ALAM BAGH,IDIB000L556
730,PUNJAB NATIONAL BANK,JIGGNA,PUNB0090020
731,Canara Bank,AKBARPUR,CNRB0018645
732,Bank of Baroda,SULTANPUR ,BARB0SULTAN
733,State Bank of India,NARAINI BANDA,SBIN0017333
734,HDFC Bank,BASTI II,HDFC0009598
735,State Bank of India,BASTI,SBIN0011200
736,PUNJAB NATIONAL BANK,BASTI ,PUNB0628000
737,State Bank of India,BASKHARI,SBIN0011233
738,HDFC Bank,BASTI,HDFC0001888
739,State Bank of India,BANKATI,SBIN0006392
740,Axis Bank,AYODHYA,UTIB0002795
741,HDFC Bank, NOIDA,HDFC0002649
742,UNION BANK OF INDIA,SAIDPUR JAGIR,UBIN0570834
743,PUNJAB NATIONAL BANK,MIRZAPUR ,PUNB0386600
744,Bank of Baroda,BASTI,BARB0CIVBAS
745,State Bank of India,BANKATI,SBIN0006392
746,HDFC Bank,KANPUR,HDFC0002080
747,Baroda Uttar Pradesh Gramin Bank,LALGANJ,BARB0BUPGBX
748,State Bank of India,CAPTAINGANJ,SBIN0002533
749,Axis Bank, LUCKNOW,UTIB0003400
750,CENTRAL BANK OF INDIA, BASTI,CBIN0283265
751,HDFC Bank,BASTI,HDFC0001888
752,HDFC Bank,BASTI,HDFC0001888
753,State Bank of India,BANKATI,SBIN0006392
754,UNION BANK,BASTI,UBIN0821578
755,PUNJAB NATIONAL BANK,LUCKNOW,PUNB0631200
756,Bank of Baroda,BASTI,BARB0BASTIX
757,State Bank of India,BASTI,SBIN0017492
758,State Bank of India,Kumarbagh,SBIN0014306
759,State Bank of India,Basti,SBIN0006211
760,ICICI BANK LIMITED,SULTANPUR,ICIC0000443
761,State Bank of India,RUDHAULI,SBIN0002604
762,State Bank of India,BINAURA,SBIN0008315
763,Bank of Baroda,GORKHAPUR,BARB0GORKHA
764,HDFC Bank,FAIZABAD,HDFC0000862
765,PUNJAB NATIONAL BANK, BASTI,PUNB0124800
766,PUNJAB NATIONAL BANK,LUCKNOW,PUNB0242400
767,PUNJAB NATIONAL BANK,BIHAR,PUNB0640000
768,UNION BANK OF INDIA,FAIZABAD,UBIN0538515
769,State Bank of India,CAPTAINGANJ,SBIN0002533
770,UNION BANK OF INDIA,AHARULA,UBIN0536032
771,State Bank of India, RISHIKESH,SBIN0010586
772,State Bank of India, MORADABAD,SBIN0010308
773,PUNJAB NATIONAL BANK,SAHARANPUR,PUNB0166200
774,PRATHAMA U.P. GRAMIN BANK,Raebareli,BARB0BUPGBX
775,PUNJAB NATIONAL BANK, NAJIBABAD,PUNB0183400
776,State Bank of India,TANDA,SBIN0001785
777,State Bank of India,NEORIA  ,SBIN0004553
778,State Bank of India,RAMPUR,SBIN0000702
779,INDIAN BANK,MAHUA DABRA,IDIB000M561
780,ICICI BANK LIMITED,BIJNOR,ICIC0000997
781,Bank of Baroda,UTTARKHAND,BARB0JASPUR
782,Bank of Baroda, MORADABAD,BARB0KATMOR
783,PUNJAB NATIONAL BANK,BIJNORE,PUNB0005600
784,Uttar Pradesh Gramin Bank,Uttar Pradesh,BARB0BUPGBX
785,PUNJAB NATIONAL BANK,UKHLARSI,PUNB0027310
786,UNION BANK OF INDIA, SAHARANPUR,UBIN0534226
787,Punjab National Bank, BIJNOR ,PUNB0009600
788,Bank Of India,SADAR,BKID0006817
789,State Bank of India,BIJNOR,SBIN0000621
790,Canara Bank,DEHRADUN ,CNRB0018941
791,ICICI BANK LIMITED,DELHI-ITO,ICIC0000386
792,State Bank of India,NAGALJAT,SBIN0007002
793,Uttar Pradesh Gramin Bank,Uttar Pradesh,BARB0BUPGBX
794,State Bank of India,NAUGAON,SBIN0017297
795,PUNJAB NATIONAL BANK,RAMPUR ,PUNB0140900
796,PUNJAB NATIONAL BANK,GAJRAULA,PUNB0177500
797,State Bank of India,RAJA KA TAJPUR,SBIN0005961
798,Uttar Pradesh Gramin Bank,UTTAR PRADESH ,BARB0BUPGBX
799,Bank of Baroda,BIJNOR,BARB0DHAMPU
800,State Bank of India,SAHARANPUR,SBIN0004258
801,PUNJAB NATIONAL BANK, BIJNOR ,PUNB0300300
802,State Bank of India, MORADABAD,SBIN0017327
803,PUNJAB NATIONAL BANK,BIJNORE,PUNB0005600
804,PRATHAMA U.P. GRAMIN BANK,Raebareli,BARB0BUPGBX
805,State Bank of India,BIJNORE,SBIN0000621
806,State Bank of India,NOORPUR,SBIN0009762
807,State Bank of India,ALLEHPUR,SBIN0003468
808,State Bank of India,NEHTAUR,SBIN0011178
809,PUNJAB NATIONAL BANK,RBD BIJNOR,PUNB0477200
810,State Bank of India,CHANDPUR,SBIN0001599
811,PUNJAB NATIONAL BANK,MORADABAD,PUNB0601000
812,Bank of Baroda, BIJNOR,BARB0BASIKI
813,State Bank of India,NAJIBABAD,SBIN0000688
814,PUNJAB NATIONAL BANK,BIJNORE,PUNB0005600
815,CORPORATION BANK,BIJNOR,UBIN0918962
816,PUNJAB NATIONAL BANK,DHANAURA  ,PUNB0681400
817,HDFC Bank, UTTARAKHAND,HDFC0000725
818,State Bank of India,RAMPUR ,SBIN0004530
819,INDIAN BANK,BIJNOR,IDIB000B817
820,PUNJAB NATIONAL BANK,NAJIBABAD,PUNB0035700
821,PUNJAB NATIONAL BANK,NAJIBABAD,PUNB0035700
822,PRATHAMA U.P. GRAMIN BANK,Raebareli,BARB0BUPGBX
823,State Bank of India, MORADABAD,SBIN0017327
824,State Bank of India,BIJNOR,SBIN0000621
825,Canara Bank,"HAZRATGANJ, LUCKNOW",CNRB0000363
826,State Bank of India,KUMSCHIRGAON,SBIN0007831
827,PUNJAB NATIONAL BANK,AMROHA,PUNB0179010
828,PUNJAB NATIONAL BANK,SAHARAN,PUNB0311800
829,UNION BANK OF INDIA,MORADABAD,UBIN0577162
830,Bank of Baroda,KANPUR,BARB0BAKARG
831,UNION BANK OF INDIA,DHANUPURA,UBIN0818895
832,Axis Bank, NOIDA,UTIB0001788
833,Axis Bank,RICHHOLA ,UTIB0002540
834,Punjab National Bank,BUDAUN,PUNB0634100
835,PUNJAB NATIONAL BANK,CHAMRAUWA,PUNB0140900
836,State Bank of India,TUNDLA ,SBIN0007279
837,Bank of Baroda, BADAUN,BARB0BADAUN
838,State Bank of India,LALAURIKHERA,SBIN0012333
839,ICICI BANK LIMITED,BARIELLY,ICIC0000192
840,State Bank of India,BAREILLY ,SBIN0001960
841,PUNJAB NATIONAL BANK, BUDAUN ,PUNB0056800
842,State Bank of India,MAHOKHWA,SBIN0009572
843,State Bank of India,BareiLLY,SBIN0018516
844,PUNJAB NATIONAL BANK, BAREILLY,PUNB0606500
845,PUNJAB NATIONAL BANK,MAINPURI,PUNB0691800
846,Bank Of India,RUDRAPUR ,BKID0006892
847,State Bank of India,KURWA,SBIN0009874
848,Axis Bank,RICHHOLA ,UTIB0002540
849,Bank of Baroda, BADAUN,BARB0NEKPUR
850,PUNJAB NATIONAL BANK,AMBIAPUR,PUNB0101600
851,UNION BANK OF INDIA,NAWABGANJ,UBIN0569615
852,Canara Bank, BAREILLY,CNRB0002838
853,INDIAN BANK,SITAPUR ,IDIB000T580
854,Axis Bank,BADAUN,UTIB0001106
855,BANDHAN BANK LIMITED,Bareilly,BDBL0001634
856,HDFC Bank,BUDAUN,HDFC0002620
857,ICICI BANK LIMITED,BAREILLY,ICIC0001020
858,Axis Bank, BAREILLY,UTIB0001084
859,HDFC Bank,MORABADBAD,HDFC0000303
860,State Bank of India,USAWAN,SBIN0011187
861,UNION BANK OF INDIA,ROHILKHAND ,UBIN0550523
862,State Bank of India,BISAULI,SBIN0000598
863,PUNJAB NATIONAL BANK,BUDAUN,PUNB0634100
864,PUNJAB NATIONAL BANK, BUDAUN ,PUNB0122000
865,State Bank of India,BISAULI,SBIN0000598
866,UNION BANK OF INDIA,BADAUN,UBIN0559521
867,Bank of Baroda,BADAUN,BARB0NEKPUR
868,PUNJAB NATIONAL BANK,SITAPUR,PUNB0043100
869,State Bank of India,BUDAUN,SBIN0017304
870,State Bank of India, AMETHI,SBIN0018417
871,State Bank of India,NAWADA,SBIN0015673
872,State Bank of India,BUDAUN ,SBIN0003555
873,PUNJAB NATIONAL BANK, CANE SOCIETY,PUNB0411100
874,State Bank of India,POLICE LINES ,SBIN0061637
875,IDBI BANK,PILIBHIT,IBKL0001021
876,Bank of Baroda,SULTANPUR,BARB0MUNSHI
877,State Bank of India,PILIBHIT,SBIN0000699
878,HDFC Bank,BAREILLY,HDFC0000304
879,Bank of Baroda,MUSKARA,BARB0MUSKAR
880,PUNJAB NATIONAL BANK,MORADABAD,PUNB0601000
881,State Bank of India,BISAULI,SBIN0000598
882,State Bank of India,ISLAM NAGAR,SBIN0001696
883,Bank of Baroda,AGRA,BARB0BISAUL
884,State Bank of India,BUDAUN,SBIN0000623
885,PUNJAB NATIONAL BANK, BUDAUN ,PUNB0311300
886,UNION BANK OF INDIA,BADAUN,UBIN0559521
887,State Bank of India,FIROZABAD,SBIN0000641
888,State Bank of India,NAKATIA,SBIN0011165
889,State Bank of India,RISAULI NIZAM,SBIN0009327
890,PUNJAB NATIONAL BANK, BUDAUN,PUNB0183900
891,State Bank of India,SAIDPUR,SBIN0003963
892,Bank of Baroda, UTTAR PRADESH ,BARB0BUPGBX
893,PUNJAB NATIONAL BANK, BUDAUN,PUNB0183900
894,PUNJAB NATIONAL BANK,MIAOON,PUNB0254400
895,State Bank of India,LABHARI,SBIN0009451
896,PUNJAB NATIONAL BANK,BUDAUN,PUNB0634100
897,CENTRAL BANK OF INDIA,SAHASWAN,CBIN0282340
898,Bank of Baroda, BUDAUN,BARB0BLYKHE
899,State Bank of India,UJHANI,SBIN0002622
900,Bank of Baroda, BUDAUN,BARB0WAZIBS
901,Bank of Baroda,BUDAUN,BARB0BLYUJH
902,Canara Bank,BAREILLY,CNRB0018635
903,Bank of Baroda, BAREILLY,BARB0BLYAON
904,UCO BANK,BADAUN,UCBA0003169
905,Punjab Bank of India,KANPUR,PUNB0002710
906,Axis Bank,BADAUN,UTIB0001106
907,ICICI BANK LIMITED,BARIELLY,ICIC0000192
908,PUNJAB NATIONAL BANK, ALIGARH,PUNB0404600
909,UNION BANK OF INDIA,BHOJUBEER,UBIN0559652
910,PUNJAB NATIONAL BANK,JAUNPUR ,PUNB0673700
911,CENTRAL BANK OF INDIA,KONCH,CBIN0280171
912,PUNJAB NATIONAL BANK, BULANDSHAHR,PUNB0365600
913,HDFC Bank,ANUPSHAHR,HDFC0002162
914,State Bank of India,LEDIYARI,SBIN0011256
915,ALLAHABAD BANK,NARAINI,IDIB000N541
916,PUNJAB NATIONAL BANK,HASARI,PUNB0989200
917,ICICI BANK LIMITED,AGRA ,ICIC0001567
918,PUNJAB NATIONAL BANK,JHINJHAK,PUNB0070100
919,State Bank of India,SWAR,SBIN0000643
920,State Bank of India, BALLIA,SBIN0004554
921,Canara Bank, LUCKNOW,CNRB0002900
922,PUNJAB NATIONAL BANK,KHURJA RURAL,PUNB0682100
923,State Bank of India,VIKAS BHAWAN,SBIN0016353
924,State Bank of India,BUDAUN ,SBIN0003555
925,State Bank of India,BULANDSHAHR,SBIN0050281
926,INDIAN BANK,BABERU A D B,IDIB000B508
927,Bank Of India,SURAJPUR,BKID0007151
928,PUNJAB NATIONAL BANK,BULANDSHAHR,PUNB0026700
929,UNION BANK OF INDIA,TIKRI,UBIN0539945
930,PUNJAB NATIONAL BANK, BULANDSHAHR,PUNB0240200
931,PUNJAB NATIONAL BANK,BULANDSHAHR,PUNB0240200
932,ICICI BANK LIMITED,NEW DELHI ,ICIC0006291
933,HDFC Bank,BULLANDSHAHR,HDFC0000770
934,State Bank of India,SHAHABAD,SBIN0000714
935,Bank of Baroda,TINDWARI,BARB0TINDWA
936,HDFC Bank,RAMPUR,HDFC0001916
937,PUNJAB NATIONAL BANK,MAWANA,PUNB0031700
938,PUNJAB NATIONAL BANK,SAHARANPUR,PUNB0616800
939,INDIAN BANK,KHERWAHIA,IDIB000K699
940,Bank of Baroda,BHAJANPURA,BARB0BHADEL
941,State Bank of India,KURWA,SBIN0009874
942,State Bank of India,GABHANA,SBIN0003636
943,PUNJAB NATIONAL BANK,Kanpur,PUNB0494600
944,Canara Bank,MAJHOLA,CNRB0018826
945,State Bank of India,BASHRATPUR,SBIN0011188
946,Bank of Baroda,VALLEY BAZAR ,BARB0VALLEY
947,INDIAN OVERSEAS BANK,R B S COLLEGE,IOBA0000414
948,FEDERAL BANK,JAIPUR ,FDRL0001832
949,INDIAN OVERSEAS BANK,MEERUT,IOBA0001532
950,State Bank of India,PHARENDA,SBIN0003818
951,UNION BANK OF INDIA,MAROOFPUR,UBIN0548839
952,State Bank of India,JARKHORKALA,SBIN0015695
953,State Bank of India,SUDNA,SBIN0018028
954,State Bank of India,RAM NAGAR,SBIN0003091
955,UNION BANK OF INDIA,MAHARAI,UBIN0573850
956,UNION BANK OF INDIA,AURIHAR,UBIN0541567
957,State Bank of India, JAUNPUR,SBIN0003036
958,State Bank of India,CHAKIA,SBIN0000233
959,State Bank of India,DHANAPUR,SBIN0010888
960,Axis Bank,MIRZAPUR,UTIB0000506
961,CENTRAL BANK OF INDIA,BODHGAYA,CBIN0280045
962,State Bank of India,DILDAR NAGAR,SBIN0011251
963,State Bank of India,JATARA,SBIN0002856
964,State Bank of India,LUCKNOW,SBIN0007789
965,UNION BANK OF INDIA,CHAHANIA,UBIN0537161
966,State Bank of India,BEHEA,SBIN0003643
967,Bank Of India,BILLI,BKID0007016
968,State Bank of India,CHANDAULI,SBIN0003618
969,Canara Bank,GHOSHI ,CNRB0003418
970,State Bank of India,AHRAURA,SBIN0012729
971,Bank Of India,CHAHNIYA,BKID0006914
972,Axis Bank,BHITTI,UTIB0002547
973,IDBI BANK,CHITRAKOOT,IBKL0001984
974,State Bank of India,BHELUPURA,SBIN0001773
975,State Bank of India,KANKARBAGH ,SBIN0003564
976,PUNJAB NATIONAL BANK,ALLAHABAD ,PUNB0100100
977,ICICI BANK LIMITED,VARANASI┬á,ICIC0006283
978,Bank of Baroda,EMILIA BAZAR,BARB0EMILBS
979,INDIAN BANK,KAMALPUR,IDIB000K549
980,State Bank of India,BEHEA,SBIN0003643
981,UNION BANK OF INDIA,MOHAMMADABAD,UBIN0576611
982,Bank of Baroda,CHAKIA,BARB0CHAKBS
983,State Bank of India,SAYED RAJA,SBIN0014903
984,HDFC Bank,CHANDUALI,HDFC0004282
