Sno,Bank Name,Branch Name,IFSC Code
117,CENTRAL BANK OF INDIA,SUITHAKALAN,CBIN0281438
118,UNION BANK OF INDIA,BASKHARI,UBIN0561479
119,State Bank of India,JANKIPURAM,SBIN0010342
120,PUNJAB NATIONAL BANK,AKBARPUR,PUNB0136810
121,INDIAN BANK,SHAHZADPUR,IDIB000S644
122,PUNJAB NATIONAL BANK,AKBARPUR ,PUNB0097400
123,PUNJAB NATIONAL BANK,AKBARPUR ,PUNB0097400
124,State Bank of India, AKBARPUR,SBIN0006650
125,UNION BANK OF INDIA,AKBARPUR,UBIN0553760
126,Bank of Baroda,AMBEDKAR NAGAR,BARB0BASAMB
127,PUNJAB NATIONAL BANK,AKBARPUR,PUNB0625700
128,Bank of Baroda,DEOKALI,BARB0DEOKAL
129,UNION BANK OF INDIA,JALALPUR,UBIN0561487
130,Baroda Uttar Pradesh Gramin Bank, UTTAR PRADESH ,BARB0BUPGBX
131,Bank Of India,AKBARPUR,BKID0006935
132,State Bank of India,RANI KI SARAI,SBIN0002600
133,Bank of Baroda, MOHANPUR,BARB0MASDAX
134,CENTRAL BANK OF INDIA, LUCKNOW,CBIN0281015
135,PUNJAB NATIONAL BANK,SULTANPUR ,PUNB0312600
136,INDIAN BANK,SHAHZADPUR,IDIB000S644
137,UNION BANK OF INDIA,BALLIPUR,UBIN0576522
138,PUNJAB NATIONAL BANK,AKBARPUR,PUNB0625700
139,Bank of Baroda,ILTIFATGANJ,BARB0ILTIFA
140,State Bank of India,AKABARPUR,SBIN0000003
141,Bank of Baroda, UTTAR PRADESH ,BARB0BUPGBX
142,Bank of Baroda,JALALPUR,BARB0JALFAI
143,State Bank of India,BHELARA,SBIN0009875
144,PUNJAB NATIONAL BANK,AKBARPUR,PUNB0136810
145,CENTRAL BANK OF INDIA,TANDA,CBIN0283685
146,Bank of Baroda, AMBEDKAR NAGAR,BARB0AKBARP
147,UNION BANK OF INDIA,BASKHARI,UBIN0561479
148,State Bank of India, INDIRA NAGAR,SBIN0016169
149,State Bank of India,HARIHARPUR,SBIN0006051
150,Bank of Baroda, UTTAR PRADESH ,BARB0BUPGBX
151,State Bank of India,BASKHARI,SBIN0011233
152,PUNJAB NATIONAL BANK,AKBARPUR,PUNB0625700
153,UNION BANK OF INDIA,TANDA,UBIN0918555
154,HDFC Bank, LUCKNOW,HDFC0002623
155,State Bank of India,ATTARA,SBIN0002509
156,Bank of Baroda,SULTANPUR,BARB0MUNSHI
157,State Bank of India,AMETHI,SBIN0001158
158,Bank of Baroda,SARAI BRANCH,BARB0SAPRBS
159,ALLAHABAD BANK,LUCKNOW ,IDIB000H561
160,Bank of Baroda,SULTANPUR,BARB0MUNSHI
161,State Bank of India,SULTANPUR ,SBIN0011216
162,State Bank of India,NANAUTI,SBIN0009032
163,UNION BANK OF INDIA,SULTANPUR,UBIN0916714
164,State Bank of India,SAIFABAD,SBIN0009549
165,Bank Of India,MUSAFIRKHANA,BKID0007832
166,State Bank of India,KORWA,SBIN0008069
167,YES BANK,BARABANKI,YESB0000209
168,Bank of Baroda,VARANASI,BARB0EXTRAM
169,Bank Of India,KAUHAR,BKID0007830
170,Bank of Baroda,JAMON,BARB0JAMONX
171,State Bank of India,HAMIRPUR,SBIN0000089
172,Bank of Baroda,SULTANPUR,BARB0MUNSHI
173,Bank of Baroda,SULTANPUR,BARB0MUNSHI
174,Bank of Baroda,SULTANPUR,BARB0HEMNAP
175,Punjab National Bank,FATEHPUR,PUNB0135610
176,State Bank of India,INDIRA NAGAR,SBIN0016169
177,Bank of Baroda,PAYAGIPUR,BARB0PAYAGI
178,Canara Bank,JAGDISHPUR,CNRB0003517
179,PUNJAB NATIONAL BANK,SULTANPUR,PUNB0851800
180,PUNJAB NATIONAL BANK, FAIZABAD,PUNB0619600
181,CENTRAL BANK OF INDIA,KANHAIPUR,CBIN0282714
182,HDFC Bank,SULTANPUR,HDFC0000944
183,UNION BANK OF INDIA,BHADOKHAR,UBIN0913472
184,State Bank of India,HAMIRPUR,SBIN0000089
185,State Bank of India,MANIK CHOWK,SBIN0003759
186,Bank of Baroda, UTTAR PRADESH ,BARB0BUPGBX
187,State Bank of India,HAL KANPUR,SBIN0009023
188,Bank of Baroda,ISAULI,BARB0ISAULI
189,Bank of Baroda,UDAIPUR,BARB0PRAUDA
190,State Bank of India,ATTARA,SBIN0002509
191,UCO BANK,SHAHGARH,UCBA0002893
192,State Bank of India, LUCKNOW,SBIN0003813
193,Bank of Baroda,RAEBARELI,BARB0ITAURA
194,Bank of Baroda,NIGHASAN,BARB0NIGHAS
195,State Bank of India, DHANAURA,SBIN0061188
196,Canara Bank,DHANAURA,CNRB0018584
197,HDFC Bank,AMROHA,HDFC0009630
198,Axis Bank,GAJRAULA,UTIB0001470
199,State Bank of India,NAUGAON ,SBIN0017297
200,UNION BANK OF INDIA,BAREILY ,UBIN0530549
201,PUNJAB NATIONAL BANK,BAREILLY,PUNB0070010
202,PUNJAB NATIONAL BANK,RBD BIJNOR,PUNB0477200
203,Uttar Pradesh Gramin Bank,Uttar Pradesh,BARB0BUPGBX
204,State Bank of India,ERRACH,SBIN0002541
205,State Bank of India,JOYA ROAD,SBIN0016760
206,PUNJAB NATIONAL BANK,NAJIBABAD,PUNB0183400
207,Uttar Pradesh Gramin Bank,Uttar Pradesh,BARB0BUPGBX
208,ICICI BANK LIMITED,NOIDA ,ICIC0001578
209,Canara Bank, AMROHA,CNRB0018589
210,PUNJAB NATIONAL BANK,SAMBHAL SHUKLA ,PUNB0183100
211,State Bank of India,DILARI,SBIN0008349
212,State Bank of India,AMROHA ,SBIN0003448
213,UNION BANK OF INDIA,GAJARAULA,UBIN0911828
214,PUNJAB NATIONAL BANK,AMROHA,PUNB0002100
215,State Bank of India,KANPUR ,SBIN0050517
216,PUNJAB NATIONAL BANK, LUCKNOW,PUNB0586800
217,INDIAN BANK,SWARAJ ASHRAM,IDIB000S807
218,UNION BANK OF INDIA,BHARTHANA,UBIN0569950
219,CENTRAL BANK OF INDIA, ETAWAH,CBIN0283289
220,Baroda Uttar Pradesh Gramin Bank, UTTAR PRADESH ,BARB0BUPGBX
221,State Bank of India,KANPUR,SBIN0005393
222,PUNJAB NATIONAL BANK, ETAWAH,PUNB0368500
223,State Bank of India,KUMS BHARTHANA,SBIN0012832
224,State Bank of India,BAREILLY,SBIN0000615
225,State Bank of India,MOOSA NAGAR,SBIN0002579
226,State Bank of India,BHARTHANA,SBIN0000619
227,State Bank of India,RURA,SBIN0002605
228,State Bank of India, KANPUR,SBIN0003809
229,Bank Of India,ORAI,BKID0006964
230,Indian Bank,TIRWA,IDIB000T595
231,PUNJAB NATIONAL BANK, SHREE GANDHI,PUNB0417000
232,State Bank of India,ORAI ,SBIN0006031
233,HDFC Bank, KANPUR,HDFC0002080
234,State Bank of India,MADHOGARH,SBIN0003201
235,State Bank of India,AURAIYA,SBIN0000612
236,Canara Bank,BARNA,CNRB0001921
237,Canara Bank,UNNAO,CNRB0002826
238,PUNJAB NATIONAL BANK,AURAIYA (UP),PUNB0049400
239,ICICI BANK LIMITED,NEW DELHI ,ICIC0000065
240,State Bank of India, KANPUR,SBIN0001783
241,State Bank of India,GHATAMPUR,SBIN0001057
242,State Bank of India,KAKORBUZURG,SBIN0013046
243,State Bank of India,JALAUN,SBIN0004564
244,CENTRAL BANK OF INDIA,KAKOR,CBIN0284231
245,INDIAN BANK,KALPI ,IDIB000K542
246,CENTRAL BANK OF INDIA,GOSAIGANJ,CBIN0281813
247,PUNJAB NATIONAL BANK,AKBARPUR,PUNB0625700
248,Bank of Baroda,NAKA MUZAFFA ,BARB0NAKFAI
249,PUNJAB NATIONAL BANK,FAIZABAD,PUNB0016600
250,PUNJAB NATIONAL BANK,TANDA THERMAL,PUNB0331700
251,Bank of Baroda,PAYAGIPUR,BARB0PAYAGI
252,CENTRAL BANK OF INDIA,RANOPALI,CBIN0284837
253,PUNJAB NATIONAL BANK, FAIZABAD ,PUNB0415200
254,PUNJAB NATIONAL BANK, BARABANKI,PUNB0286600
255,Bank of Baroda,VISHNU MARKET,BARB0FAIZAB
256,PUNJAB NATIONAL BANK,SULTANPUR ,PUNB0312600
257,State Bank of India,JANKIPURAM ,SBIN0012981
258,Canara Bank,FAIZABAD,CNRB0001641
259,State Bank of India,CAPTAINGANJ,SBIN0002533
260,State Bank of India,GOSAINGANJ,SBIN0015112
261,State Bank of India,KUREBHAR,SBIN0002564
262,Bank of Baroda,ATARSUMA KALAN,BARB0ATARSU
263,State Bank of India, FAIZABAD,SBIN0003309
264,Bank of Baroda,JAGDISHPUR,BARB0JAGSUL
265,ICICI BANK LIMITED,GOMTINAGAR┬á,ICIC0000214
266,Bank of Baroda,FAIZABAD,BARB0SAHADA
267,State Bank of India,NAKA,SBIN0012323
268,Bank of Baroda,NIYAWAN ROAD,BARB0NIYFAI
269,INDIAN BANK,FAIZABAD,IDIB000F502
270,Bank of Baroda,AKBARPUR,BARB0AKBARP
